tag:tv polygon:471.0,559.0:483.0,526.0:514.0,549.0:499.0,571.0:473.0,558.0:
tag:keyboard point:108.0,361.0:
tag:keyboard point:104.0,387.0:
tag:keyboard point:80.0,413.0:
tag:keyboard point:448.0,253.0:
tag:keyboard point:454.0,268.0:
tag:keyboard point:439.0,261.0:
tag:keyboard point:456.0,259.0:
tag:keyboard point:288.0,442.0:
tag:keyboard point:311.0,293.0:
tag:keyboard point:67.0,496.0:
tag:keyboard point:207.0,322.0:
tag:lamp point:573.0,442.0:
tag:lamp point:616.0,275.0:
tag:lamp point:449.0,260.0:
tag:lamp point:312.0,264.0:
tag:lamp point:261.0,348.0:
tag:lamp point:369.0,499.0:
tag:lamp point:324.0,585.0:
tag:lamp point:334.0,622.0:
tag:laptop point:317.0,497.0:
tag:laptop point:247.0,323.0:
tag:laptop point:601.0,270.0:
tag:laptop point:639.0,361.0:
tag:laptop point:643.0,450.0:
tag:laptop point:668.0,480.0:
tag:laptop point:688.0,400.0:
tag:laptop point:316.0,541.0:
tag:laptop point:359.0,544.0:
tag:bag point:631.0,310.0:
tag:bag point:579.0,297.0:
tag:microwave point:599.0,545.0:
tag:microwave point:464.0,69.0:
tag:microwave point:218.0,422.0:
tag:monitor point:376.0,291.0:
tag:monitor point:661.0,399.0:
tag:monitor point:688.0,403.0:
tag:monitor point:707.0,432.0:
tag:monitor point:641.0,451.0:
tag:monitor point:609.0,276.0:
tag:monitor point:636.0,301.0:
tag:monitor point:658.0,318.0:
tag:monitor point:655.0,338.0:
tag:monitor point:640.0,365.0:
tag:monitor point:574.0,439.0:
tag:monitor point:448.0,255.0:
tag:monitor point:450.0,267.0:
tag:monitor point:457.0,254.0:
tag:monitor point:458.0,265.0:
tag:monitor point:318.0,496.0:
tag:monitor point:319.0,586.0:
tag:monitor point:309.0,539.0:
tag:monitor point:107.0,359.0:
tag:monitor point:101.0,386.0:
tag:monitor point:78.0,415.0:
tag:monitor point:78.0,496.0:
tag:monitor point:316.0,264.0:
tag:monitor point:277.0,232.0:
tag:monitor point:231.0,347.0:
tag:monitor point:207.0,319.0:
tag:monitor point:289.0,444.0:
tag:monitor point:529.0,322.0:
tag:monitor point:537.0,293.0:
tag:monitor point:369.0,499.0:
tag:monitor point:357.0,543.0:
tag:monitor point:312.0,290.0:
tag:monitor point:322.0,356.0:
tag:monitor point:183.0,405.0:
tag:monitor point:332.0,624.0:
tag:mug point:614.0,278.0:
tag:mug point:667.0,397.0:
tag:mug point:587.0,545.0:
tag:mug point:469.0,68.0:
tag:mug point:316.0,489.0:
tag:mug point:334.0,622.0:
tag:mug point:291.0,443.0:
tag:mug point:235.0,346.0:
tag:mug point:102.0,385.0:
tag:mug point:113.0,361.0:
tag:paper point:379.0,404.0:
tag:paper point:633.0,400.0:
tag:papertowel point:472.0,66.0:
tag:papertowel point:586.0,545.0:
tag:papertowel point:588.0,550.0:
tag:pen point:651.0,332.0:
tag:pen point:317.0,492.0:
tag:pen point:281.0,496.0:
tag:pen point:291.0,445.0:
tag:pen point:450.0,261.0:
tag:pen point:705.0,431.0:
tag:pen point:276.0,227.0:
tag:pen point:105.0,387.0:
tag:pen point:207.0,327.0:
tag:pencil point:641.0,279.0:
tag:pencil point:635.0,301.0:
tag:pencil point:302.0,268.0:
tag:pencil point:110.0,363.0:
tag:pencil point:233.0,348.0:
tag:phone point:610.0,277.0:
tag:plant point:634.0,319.0:
tag:plant point:256.0,476.0:
tag:plant point:620.0,326.0:
tag:plant point:206.0,304.0:
tag:plate point:589.0,548.0:
tag:plate point:643.0,452.0:
tag:printer point:221.0,419.0:
tag:printer point:315.0,484.0:
tag:printer point:325.0,583.0:
tag:receiver point:476.0,542.0:
tag:refrigerator point:596.0,543.0:
tag:refrigerator point:462.0,77.0:
tag:refrigerator point:225.0,421.0:
tag:refrigerator point:623.0,310.0:
tag:remotecontrol point:696.0,418.0:
tag:remotecontrol point:471.0,536.0:
tag:robot point:659.0,448.0:
tag:robot point:351.0,286.0:
tag:robot point:620.0,325.0:
tag:robot point:261.0,297.0:
tag:robot point:93.0,437.0:
tag:shelf point:622.0,307.0:
tag:shelf point:290.0,443.0:
tag:shelf point:208.0,328.0:
tag:sink point:598.0,542.0:
tag:sink point:465.0,69.0:
tag:sink point:595.0,553.0:
tag:soap point:463.0,76.0:
tag:soap point:588.0,548.0:
tag:sofa point:485.0,529.0:
tag:sofa point:291.0,444.0:
tag:solder point:611.0,432.0:
tag:solder point:260.0,351.0:
tag:solder point:319.0,485.0:
tag:speaker point:323.0,586.0:
tag:speaker point:308.0,265.0:
tag:speaker point:235.0,350.0:
tag:speaker point:644.0,447.0:
tag:speaker point:636.0,304.0:
tag:stapler point:652.0,288.0:
tag:stapler point:573.0,420.0:
tag:stapler point:595.0,582.0:
tag:stapler point:580.0,440.0:
tag:stapler point:642.0,404.0:
tag:stapler point:312.0,540.0:
tag:stapler point:332.0,588.0:
tag:stapler point:234.0,415.0:
tag:stool point:346.0,517.0:
tag:sunglasses point:643.0,295.0:
tag:telephone point:276.0,231.0:
tag:telephone point:609.0,278.0:
tag:telephone point:636.0,300.0:
tag:telephone point:652.0,339.0:
tag:telephone point:694.0,406.0:
tag:telephone point:708.0,446.0:
tag:telephone point:207.0,326.0:
tag:telephone point:263.0,323.0:
tag:telephone point:234.0,348.0:
tag:telephone point:110.0,355.0:
tag:telephone point:85.0,430.0:
tag:telephone point:78.0,493.0:
tag:telephone point:311.0,539.0:
tag:telephone point:323.0,585.0:
tag:telephone point:332.0,625.0:
tag:toaster point:224.0,420.0:
tag:toaster point:588.0,546.0:
tag:toaster point:469.0,68.0:
tag:towel point:659.0,289.0:
tag:trash point:635.0,323.0:
tag:trash point:592.0,545.0:
tag:trash point:469.0,62.0:
tag:trash point:383.0,289.0:
tag:trash point:329.0,472.0:
tag:trash point:299.0,466.0:
tag:trash point:386.0,403.0:
tag:trash point:540.0,308.0:
tag:trash point:308.0,421.0:
tag:trash point:660.0,403.0:
tag:trash point:671.0,474.0:
tag:trash point:347.0,486.0:
tag:trash point:325.0,525.0:
tag:trash point:337.0,589.0:
tag:trash point:124.0,378.0:
tag:trash point:100.0,448.0:
tag:trash point:206.0,320.0:
tag:trash point:253.0,336.0:
tag:trash point:447.0,249.0:
tag:trash point:267.0,234.0:
tag:tv point:501.0,557.0:
tag:water point:470.0,68.0:
tag:water point:586.0,543.0:
tag:waterbottle point:639.0,301.0:
tag:wheelbarrow point:362.0,297.0:
tag:whiteboard point:643.0,292.0:
tag:wine point:655.0,283.0:
tag:bag point:234,348:
